country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",06-04-2025 14:00:00,25.32393,82.99687,PM10,42.0,215.0,120.0
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",06-04-2025 14:00:00,25.32393,82.99687,NO2,1.0,2.0,2.0
India,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",06-04-2025 14:00:00,30.075911,78.2859547,NO2,10.0,16.0,13.0
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",06-04-2025 14:00:00,22.7605581,88.3617589,SO2,15.0,29.0,20.0
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",06-04-2025 14:00:00,22.7605581,88.3617589,CO,58.0,81.0,61.0
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",06-04-2025 14:00:00,22.7605581,88.3617589,OZONE,15.0,66.0,31.0
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",06-04-2025 14:00:00,23.567923,87.306843,PM10,96.0,219.0,152.0
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",06-04-2025 14:00:00,23.567923,87.306843,CO,20.0,66.0,49.0
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",06-04-2025 14:00:00,23.508764,87.35444,PM2.5,26.0,121.0,73.0
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",06-04-2025 14:00:00,23.508764,87.35444,NH3,3.0,6.0,5.0
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",06-04-2025 14:00:00,22.629801,88.352017,NH3,4.0,4.0,4.0
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",06-04-2025 14:00:00,22.629801,88.352017,OZONE,18.0,88.0,37.0
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB",06-04-2025 14:00:00,22.554954,88.292568,NO2,6.0,175.0,29.0
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",06-04-2025 14:00:00,22.6025571,88.3105664,CO,19.0,62.0,22.0
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",06-04-2025 14:00:00,22.5687319,88.2797276,SO2,13.0,87.0,32.0
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",06-04-2025 14:00:00,22.5687319,88.2797276,CO,13.0,74.0,49.0
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",06-04-2025 14:00:00,22.5367507,88.3638022,NO2,17.0,66.0,24.0
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",06-04-2025 14:00:00,22.58157048,88.41002457,PM2.5,34.0,69.0,47.0
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",06-04-2025 14:00:00,22.49929,88.36917,NO2,16.0,105.0,28.0
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",06-04-2025 14:00:00,22.627847,88.380669,PM2.5,43.0,85.0,61.0
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",06-04-2025 14:00:00,22.627847,88.380669,OZONE,24.0,69.0,48.0
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",06-04-2025 14:00:00,26.6879226,88.4152495,PM2.5,99.0,315.0,201.0
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",06-04-2025 14:00:00,26.6879226,88.4152495,NO2,18.0,40.0,26.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",06-04-2025 14:00:00,26.181742,91.78063,SO2,19.0,22.0,20.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",06-04-2025 14:00:00,26.181742,91.78063,OZONE,2.0,98.0,35.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",06-04-2025 14:00:00,26.349082,92.68449,OZONE,22.0,40.0,29.0
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",06-04-2025 14:00:00,26.446912,91.439057,PM10,95.0,451.0,194.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-04-2025 14:00:00,16.536107,80.594233,CO,16.0,35.0,25.0
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",06-04-2025 14:00:00,16.536107,80.594233,OZONE,1.0,26.0,6.0
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",06-04-2025 14:00:00,16.486692,80.699436,PM2.5,61.0,72.0,66.0
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",06-04-2025 14:00:00,16.509717,80.612222,SO2,8.0,13.0,10.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025 14:00:00,26.1875,91.744194,PM2.5,48.0,238.0,129.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025 14:00:00,26.1875,91.744194,SO2,25.0,58.0,36.0
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",06-04-2025 14:00:00,26.1875,91.744194,CO,28.0,98.0,32.0
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",06-04-2025 14:00:00,26.181742,91.78063,PM2.5,70.0,273.0,152.0
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",06-04-2025 14:00:00,13.20488,79.097889,NH3,3.0,9.0,5.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",06-04-2025 14:00:00,14.465052,78.824187,PM10,41.0,57.0,48.0
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",06-04-2025 14:00:00,14.465052,78.824187,NH3,4.0,6.0,5.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",06-04-2025 14:00:00,16.5150833,80.5181667,PM2.5,10.0,62.0,29.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",06-04-2025 14:00:00,16.5150833,80.5181667,NO2,25.0,38.0,31.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",06-04-2025 14:00:00,16.5150833,80.5181667,NH3,1.0,3.0,2.0
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",06-04-2025 14:00:00,16.5150833,80.5181667,CO,11.0,66.0,22.0
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",06-04-2025 14:00:00,11.654054,92.734055,PM10,3.0,45.0,20.0
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",06-04-2025 14:00:00,11.654054,92.734055,NH3,1.0,3.0,1.0
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",06-04-2025 14:00:00,11.654054,92.734055,OZONE,3.0,45.0,5.0
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",06-04-2025 14:00:00,17.72,83.3,OZONE,9.0,13.0,10.0
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",06-04-2025 14:00:00,26.071318,91.87488,CO,49.0,64.0,55.0
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",06-04-2025 14:00:00,13.615387,79.40923,NH3,3.0,3.0,3.0
India,Assam,Guwahati,"IITG, Guwahati - PCBA",06-04-2025 14:00:00,26.2028636,91.70046436,PM10,60.0,442.0,149.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025 14:00:00,26.80365,84.51954,PM2.5,18.0,247.0,97.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025 14:00:00,26.80365,84.51954,NH3,3.0,5.0,5.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025 14:00:00,26.80365,84.51954,SO2,7.0,24.0,16.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025 14:00:00,26.80365,84.51954,CO,30.0,84.0,77.0
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",06-04-2025 14:00:00,26.80365,84.51954,OZONE,22.0,29.0,25.0
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",06-04-2025 14:00:00,25.251013,86.989001,NO2,16.0,47.0,24.0
